Año,Clave_Ent,Entidad,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Marzo,Abril
2015,1,Aguascalientes,El patrimonio,Robo,Robo a transportista,Sin violencia,0,0
2015,1,Aguascalientes,El patrimonio,Robo,Robo a transeúnte en vía pública,Con violencia,48,45
2015,1,Aguascalientes,El patrimonio,Robo,Robo a transeúnte en vía pública,Sin violencia,160,115
2015,1,Aguascalientes,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Con violencia,0,0
2015,1,Aguascalientes,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Sin violencia,0,0
2015,1,Aguascalientes,El patrimonio,Robo,Robo en transporte público individual,Con violencia,0,1
2015,1,Aguascalientes,El patrimonio,Robo,Robo en transporte público individual,Sin violencia,4,5
2015,1,Aguascalientes,El patrimonio,Robo,Robo en transporte público colectivo,Con violencia,0,0
2015,1,Aguascalientes,El patrimonio,Robo,Robo en transporte público colectivo,Sin violencia,0,0
2015,1,Aguascalientes,El patrimonio,Robo,Robo en transporte individual,Con violencia,1,2
2015,1,Aguascalientes,El patrimonio,Robo,Robo en transporte individual,Sin violencia,2,1
2015,1,Aguascalientes,El patrimonio,Robo,Robo a institución bancaria,Con violencia,1,0
2015,1,Aguascalientes,El patrimonio,Robo,Robo a institución bancaria,Sin violencia,0,0
2015,1,Aguascalientes,El patrimonio,Robo,Robo a negocio,Con violencia,16,14
2015,1,Aguascalientes,El patrimonio,Robo,Robo a negocio,Sin violencia,123,104
2015,1,Aguascalientes,El patrimonio,Robo,Robo de ganado,Con violencia,0,0
2015,1,Aguascalientes,El patrimonio,Robo,Robo de ganado,Sin violencia,16,14
2015,1,Aguascalientes,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Con violencia,1,0
2015,1,Aguascalientes,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Sin violencia,0,0
2015,1,Aguascalientes,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Con violencia,0,0
2015,1,Aguascalientes,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Sin violencia,0,0
2015,1,Aguascalientes,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Con violencia",0,0
2015,1,Aguascalientes,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia",0,0
2015,1,Aguascalientes,El patrimonio,Robo,Otros robos,Con violencia,0,2
2015,1,Aguascalientes,El patrimonio,Robo,Otros robos,Sin violencia,109,91
